,Headline,Source,Sentiment,Positive_score,Neutral_score,Negative_score,Key_words
0,US withdrawal from Iran nuclear deal drives Ankara into a corner,World Socialist Web Site,NEUTRAL,0.00759956706315279,0.9328952431678772,0.05618126690387726,"['US withdrawal', 'Iran nuclear deal', 'Ankara']"
1,"Turkey: Erdogan's Islamist ""Family Engineering""",Gatestone Institute,NEUTRAL,0.004510721191763878,0.9899842739105225,0.004784462042152882,"['Turkey', 'Erdogan', 'Islamist ""Family Engineering']"
2,Erdogan begins three-day visit to Britain,euronews,NEUTRAL,0.004886195994913578,0.9569869637489319,0.036293696612119675,"['Erdogan', 'three-day visit']"
3,Kurdish protesters spark violent clash with police guarding Turkish leader Erdogan in UK,Express.co.uk,NEUTRAL,0.0033659914042800665,0.9857402443885803,0.010090301744639874,"['Kurdish protesters', 'violent clash', 'police', 'Turkish leader Erdogan']"
4,US has lost 'mediator role' in Middle East: Erdogan,The Daily Star,NEUTRAL,0.009684196673333645,0.9113100171089172,0.07457022368907928,"['mediator role', 'Middle East']"
5,"Erdogan condemns US for punishing Palestinians, rewarding Israel",Hong Kong Standard (press release),NEUTRAL,0.046231821179389954,0.9440541863441467,0.007985263131558895,"['Erdogan', 'Palestinians']"
6,Erdogan and the Queen,EUobserver,NEUTRAL,0.04554888606071472,0.9347245693206787,0.017577996477484703,['Erdogan']
7,Erdogan flies into Britain for talks on a new partnership,The Times,NEUTRAL,0.01334010623395443,0.9680259823799133,0.01657021977007389,"['Erdogan', 'Britain', 'talks']"
8,Cyprus on agenda of Erdogan's UK visit,Cyprus Mail,NEUTRAL,0.007346449885517359,0.9862781167030334,0.00586534570902586,"['Cyprus', 'agenda', 'Erdogan', 'UK']"
9,"US 'part of the problem' in Israel-Palestine peace process, says Turkey's Erdogan",Pakistan Today,NEUTRAL,0.015027830377221107,0.8603301644325256,0.1172189861536026,"[""'part"", 'the problem', 'Israel-Palestine peace process', 'Turkey']"
10,Erdogan in London in bid to boost bilateral trade ties,Daily Times,NEUTRAL,0.011102542281150818,0.9853253960609436,0.00303025939501822,"['Erdogan', 'London', 'bid']"
11,Turkey makes bid to IMPROVE trade post-Brexit as Erdogan makes CONTROVERSIAL tour,Express.co.uk,NEUTRAL,0.0047791809774935246,0.9875509142875671,0.0071999975480139256,"['Turkey', 'bid', 'IMPROVE trade post', 'Brexit', 'Erdogan']"
12,'Sowing FEAR' ÛÒ Turkey accuses Israel of fuelling new WAR in Middle East as tensions MOUNT,Express.co.uk,NEUTRAL,0.011359826661646366,0.9405439496040344,0.044226713478565216,"['Sowing FEAR', ""' \x89ÛÒ Turkey"", 'Israel', 'new WAR', 'Middle East']"
13,Erdogan visits 'valuable' ally Britain for talks as critics call for May to raise rights issues,The Japan Times,NEUTRAL,0.0068551115691661835,0.9520948529243469,0.03835543990135193,"['Erdogan', 'valuable', ""' ally Britain"", 'talks', 'critics']"
14,Tightening race places Turkey's Kurds at the centre,Ahval,NEUTRAL,0.012748105451464653,0.9685714244842529,0.017118938267230988,"['Tightening race', 'Turkey', 'Kurds']"
15,Kurdish protesters try to block Erdogan's convoy as his 3-day British visit begins (VIDEO),RT,NEUTRAL,0.0068741608411073685,0.9814502000808716,0.010591047815978527,"['Kurdish protesters', 'Erdogan', 'convoy', 'his 3-day British visit', 'VIDEO']"
16,Turkish president arrives in UK for three day visit,Belfast Telegraph,NEUTRAL,0.009852895513176918,0.9743271470069885,0.014783615246415138,"['Turkish president', 'UK']"
17,Kurdish protesters clash with police as Turkey's President Erdogan arrives in the UK for three-day state visit which will ...,Daily Mail,NEUTRAL,0.007287079934030771,0.9591360688209534,0.03143368661403656,"['Kurdish protesters', 'police', 'Turkey', 'President Erdogan', 'the UK', 'three-day state visit']"
18,Erdogan: 'East Jerusalem is Palestine's capital',Anadolu Agency,NEUTRAL,0.0029057380743324757,0.9606271982192993,0.034956321120262146,"['Erdogan', 'East Jerusalem', 'Palestine', 'capital']"
19,"Erdogan slams Israel for attacks on Syria, Palestine",AMN Al-Masdar News,NEUTRAL,0.015918543562293053,0.9162101149559021,0.06500013172626495,"['Erdogan', 'Israel', 'attacks', 'Syria']"
20,"Turkey will not forget UK solidarity post-July 15, ErdoÙan says",Daily Sabah,NEUTRAL,0.007461925037205219,0.9413409233093262,0.04892420396208763,"['Turkey', 'UK solidarity post', 'July 15', 'Erdo\x80Ùan']"
21,Turkish president hails strong relations with Britain,Brinkwire (press release),NEUTRAL,0.008039716631174088,0.9145457744598389,0.07273265719413757,"['Turkish president', 'strong relations']"
22,Turkish opposition motto comes from unexpected contributor: Erdogan,Al-Monitor,NEUTRAL,0.007504498120397329,0.9905532598495483,0.0016260383417829871,"['Turkish opposition motto', 'unexpected contributor']"
23,Woman jailed for insulting Turkish President ErdoÙan on social media,Stockholm Center for Freedom,NEUTRAL,0.002490303013473749,0.8564574122428894,0.1376156359910965,"['Woman', 'insulting Turkish President Erdo\x80Ùan']"
24,"Putin's stock rises as 'go-to' mediator between Israel, Iran",Al-Monitor,NEUTRAL,0.011674469336867332,0.879919707775116,0.10328175127506256,"['Putin', 'stock', 'mediator', 'Israel']"
25,Turkey Targets French Studies Due To Quran Row And Reciprocity,malaysiandigest.com,NEUTRAL,0.009763718582689762,0.9859558343887329,0.0036967454943805933,"['Turkey Targets French Studies', 'Quran Row']"
26,Turkey seeking to draw more foreign students: ErdoÙan,Hurriyet Daily News,NEUTRAL,0.014198468066751957,0.9718010425567627,0.012329704128205776,"['Turkey', 'more foreign students']"
27,"Erdogan arrives in UK before meetings with queen, PM",An-Nahar,NEUTRAL,0.00751112774014473,0.9870894551277161,0.00486269174143672,"['Erdogan', 'UK', 'meetings', 'queen']"
