,Headline,Source,Sentiment,Positive_score,Neutral_score,Negative_score,Key_words
0,"Turkey, US Could Head for Collision Over Iran Nuclear Deal",Voice of America,NEUTRAL,0.008355719968676567,0.9336801171302795,0.054338887333869934,"['Turkey', 'US Could Head', 'Collision']"
1,The Making of a Kurdish Mandela,Foreign Policy (blog),NEUTRAL,0.02004684880375862,0.9649551510810852,0.01383922714740038,['The Making']
2,12 Reasons Turkey Should Be Expelled From NATO,FrontPage Magazine,NEUTRAL,0.014961122535169125,0.9210250973701477,0.060201048851013184,"['12 Reasons Turkey', 'Expelled']"
3,Ankara vows to help resist US sanctions on Iran,Al-Monitor,NEUTRAL,0.007897580973803997,0.9813231229782104,0.009879558347165585,"['Ankara', 'US sanctions']"
4,UK has sold $1bn of weapons to Turkey since coup attempt,Middle East Eye,NEUTRAL,0.008601688779890537,0.7317898273468018,0.2524195909500122,"['UK', '$1bn', 'weapons', 'Turkey']"
5,Lira falls after Erdogan calls interest rates 'mother of all evil',Financial Times,NEUTRAL,0.009799686260521412,0.6348767876625061,0.342434823513031,"['Lira', 'Erdogan', 'interest rates', ""'mother"", 'all evil']"
6,"Turkey's Erdogan calls interest rates ""mother of all evil"", lira slides",Reuters,NEUTRAL,0.010129506699740887,0.9257246851921082,0.05591747537255287,"['Turkey', 'Erdogan', 'interest rates', 'mother', 'all evil', 'lira']"
7,Arab journalists see Turkey's early polls 'important',Anadolu Agency,NEUTRAL,0.012804469093680382,0.9772353768348694,0.008833040483295918,"['Arab journalists', 'Turkey', 'early polls', ""'important""]"
8,"US Pullout From Iran Deal, 'Opportunity' For Turkey – Minister",CHANNELS TELEVISION,NEUTRAL,0.0065378304570913315,0.9857638478279114,0.006905947346240282,"['US Pullout', 'Iran Deal', 'Opportunity']"
9,Turkish President Recep Tayyip Erdogan to visit UK this weekend,Brinkwire (press release),NEUTRAL,0.005273588001728058,0.984718918800354,0.009137636050581932,"['Turkish President Recep Tayyip Erdogan', 'UK']"
