,Headline,Source,Sentiment,Positive_score,Neutral_score,Negative_score,Key_words
0,"Erdogan vows to quit when 'enough', sparks Twitter trend",News24,NEUTRAL,0.004595705308020115,0.8851268291473389,0.10515657067298889,['Erdogan']
1,"Erdogan speech in Turkey backfires, leading to widespread 'enough' hashtag",CBC.ca,NEUTRAL,0.015908868983387947,0.9617916345596313,0.01972341164946556,"['Erdogan speech', 'Turkey', 'widespread']"
2,"I'll step aside when Turkey says 'enough', says Erdogan. Twitter responds",euronews,NEUTRAL,0.07290947437286377,0.871536374092102,0.04463155195116997,"['Turkey', 'Erdogan', 'Twitter']"
3,Has Erdogan accidentally gifted the Turkish opposition with a catchy slogan?,Kurdistan24,NEUTRAL,0.029603155329823494,0.9232110977172852,0.035578109323978424,"['Erdogan', 'the Turkish opposition', 'a catchy slogan']"
4,Erdogan pledge to quit when 'enough' sparks Twitter trend,Gulf Times,NEUTRAL,0.009853869676589966,0.8591703176498413,0.12272758036851883,['Erdogan']
5,'That's enough' trends on Twitter after Turkey's President Erdogan vowed he would not run for re-election 'if my people ...,Daily Mail,NEUTRAL,0.008941587060689926,0.9166608452796936,0.0684923380613327,"['trends', 'Twitter', 'Turkey', 'President Erdogan', 're-election', 'my people']"
6,Turkish twitter hashtag 'Tamam' trending in opposition to Erdogan,Middle East Eye,NEUTRAL,0.0021206741221249104,0.995069146156311,0.0026121430564671755,"['Turkish twitter hashtag', ""'Tamam"", ""' trending"", 'opposition']"
7,"'Serbia, Turkey are building bridges of friendship'",Brinkwire (press release),NEUTRAL,0.04279995337128639,0.9427889585494995,0.011974328197538853,"['Serbia', 'Turkey', 'bridges', 'friendship']"
8,Erdoğan's election manifesto,Daily Sabah,NEUTRAL,0.009923174045979977,0.9423131942749023,0.04563159495592117,['Erdoğan']
9,How will the Turkish economy take shape in the post-election period?,Daily Sabah,NEUTRAL,0.0038565676659345627,0.990247905254364,0.005407389719039202,"['the Turkish economy', 'shape', 'the post-election period']"
10,Incumbent president likely to be re-elected in first round on June 24: survey,Daily Sabah,NEUTRAL,0.004989526234567165,0.9434412717819214,0.04894188046455383,"['Incumbent president', 'first round', 'June 24']"
