,Headline,Source,Sentiment,Positive_score,Neutral_score,Negative_score,Key_words
0,Britain Should use Erdogan Visit to Speak out on Human Rights,Human Rights Watch,NEUTRAL,0.00570495193824172,0.7547461986541748,0.23260369896888733,"['Britain', 'Erdogan Visit']"
1,The Making of a Kurdish Mandela,Foreign Policy (blog),NEUTRAL,0.02004684880375862,0.9649551510810852,0.01383922714740038,['The Making']
2,"Turkey, US Could Head for Collision Over Iran Nuclear Deal",Voice of America,NEUTRAL,0.008355719968676567,0.9336801171302795,0.054338887333869934,"['Turkey', 'US Could Head', 'Collision']"
3,"Erdogan's UK visit to boost ties, says British envoy",Brinkwire (press release),NEUTRAL,0.006713191047310829,0.9882434606552124,0.004306845832616091,"['Erdogan', 'UK visit', 'ties']"
4,"Erdogan, Putin discuss US withdrawal from nuclear deal",Brinkwire (press release),NEUTRAL,0.004598069936037064,0.9784708619117737,0.01582362689077854,"['Erdogan', 'Putin', 'US withdrawal']"
5,Recep Tayyip Erdogan to foreign rating agencies: 'Greece has gone bankrupt but still gets loans',Focus News,NEUTRAL,0.02201407216489315,0.8973149657249451,0.06377469003200531,"['Recep Tayyip Erdogan', 'foreign rating agencies', 'Greece', 'bankrupt', 'loans']"
6,How to interpret ErdoÙan's recent 'pledges' on the EU?,Ahval,NEUTRAL,0.01188651192933321,0.9788532853126526,0.008439550176262856,"['Erdo\x80Ùan', 'recent', ""'pledges"", 'the EU']"
7,Erdogan's party to reveal election candidates on May 25,Brinkwire (press release),NEUTRAL,0.004061946179717779,0.9918328523635864,0.003651979612186551,"['Erdogan', 'party', 'election candidates']"
8,Turkish president to visit UK on May 13,Yeni _afak English,NEUTRAL,0.004152650013566017,0.978764533996582,0.01618930697441101,"['Turkish president', 'UK']"
9,'Turkish banks fully follow rules on money laundering',www.worldbulletin.net,NEUTRAL,0.006001121364533901,0.982293426990509,0.010957464575767517,"['Turkish banks', 'rules', 'money']"
10,Turkey says US Iran deal pullout 'opportunity' for Ankara,The Siasat Daily,NEUTRAL,0.006071306299418211,0.906158983707428,0.0845164805650711,"['Turkey', 'US Iran deal pullout', ""'opportunity""]"
11,Turkish Economy May Collapse,Live Trading News,NEUTRAL,0.009072820656001568,0.9664371609687805,0.023221436887979507,[]
12,US Iran deal pullout a chance for Ankara: Turkish official,The Daily Star,NEUTRAL,0.0062024593353271484,0.9782800674438477,0.014278198592364788,"['US Iran deal', 'a chance', 'Ankara']"
13,CHP candidate ready to become vice president under IP's AkÙener,Daily Sabah,NEUTRAL,0.01790495403110981,0.9623533487319946,0.017455805093050003,"['CHP candidate', 'vice president', 'IP', 'Ak']"
14,Main opposition CHP looks for way out in upcoming elections,Daily Sabah,NEUTRAL,0.008279993198812008,0.9808520674705505,0.010020154528319836,['Main opposition CHP']
15,Turkish opposition candidate promises focus on education,Gulf Times,NEUTRAL,0.008554489351809025,0.9856303334236145,0.005174239631742239,"['Turkish opposition candidate', 'focus']"
16,"Turkey's Erdogan calls interest rates ""mother of all evil""; lira slides",Reuters,NEUTRAL,0.010319325141608715,0.9215540289878845,0.05940457805991173,"['Turkey', 'Erdogan', 'interest rates', 'mother', 'all evil', 'lira']"
17,ErdoÙan again blasts interest rates as 'the mother of all evil',Hurriyet Daily News,NEUTRAL,0.023273004218935966,0.8678818345069885,0.10279751569032669,"['Erdo\x80Ùan', 'interest rates', 'the mother', 'all evil']"
18,Erdogan slams rating agencies for upgrading 'bankrupt' Greece,www.ekathimerini.com,NEUTRAL,0.0034574747551232576,0.9892120361328125,0.00676820008084178,"['Erdogan', 'rating agencies', 'bankrupt']"
